Exp,Mouse,Line,Group,Inf1,Inf2,Protein,Dpi,IFNg_serum,IgE_serum,IgG1_serum,IgG2a_serum,IL.4_serum,IL.5_serum,IL.10_serum,IFNg_Ag.MLN.stim,IFN_CD3.MLN.stim,IFN_Media.MLN.stim,IL.5_Media.MLN.stim,IL.5_Ag.MLN.stim,IL.5_CD3.MLN.stim,IL.10_Media.MLN.stim,IL.10_CD.MLN.stim,IL.10_Ag.MLN.stim,IL.17.Media.MLN.stim,IL.17_CD.MLN.stim,IL.17_Ag.MLN.stim,wean.BW,FinalBW,ADWG,ADWG.expt,ADWG.expt.diet,spleen.wt,Gut.wt,Spl_BW,Gut_BW,colon.contents,wet.carcass.wt,dry.carcass.wt,Fat_,GAPDH_qPCR.gut,Arg1_qPCR.gut,CD36_qPCR.gut,Idlr_qPCR.gut,iNOS_qPCR.gut,PPARg1.2_qPCR.gut,RELMa_qPCR.gut,Arg1_qPCR.spleen,CD36_qPCR.spleen,GAPDH_qPCR.spleen,Idlr_qPCR.spleen,iNOS_qPCR.spleen,PPARg1.2_qPCR.spleen,RELMa_qPCR.spleen,Total.worms
SB-105,8,ROH,0_1,0,1,HP,21,0,0.063,9.457278572,0,0.034,0,0,0,1.563,0,1.586,0,1.5,0,0.947,0,0,0.077,0,16.29,50.63,1.041,0.93,1.233,0.138,2.368,2.726,46.771,0.11,45.36,21,22.115,0.256,0.005,0.011,2.87,0.019,0.007,0.013,0.251,0.005,0.324,0.413,0.19,0.286,0.006,15
SB-105,10,ROH,0_1,0,1,LP,9,0,0.064,7.378383713,0,0.227,0,0,0,0,0,0,0,2.268,0.347,2.155,0.711,0,0,0,19.46,39.64,0.612,0.387,0.042,0.11,2.3,2.775,58.022,0.25,35.36,13.5,12.942,0.279,0.011,0.032,4.305,0.039,0.032,0.016,0.143,0.001,0.147,0.086,0.074,0.084,0.022,3
SB-105,11,ROH,1_1,1,1,LP,9,0,0.444,11.72804491,5.993961427,0.056,0,0,0,0,0,0,0.672,3.119,0,2.748,0.172,0,0,0,16.71,34.06,0.526,0.131,-0.381,0.09,1.75,2.642,51.38,0.18,31.44,11.8,12.211,0.403,0.279,0.111,0.493,0.059,0.037,0.064,0.144,0.001,0.107,0.077,0.073,0.06,0.09,0
SB-105,12,ROH,1_0,1,0,LP,21,0,0.034,10.84351434,0,0,0,0,0,0.746,0.884,0.471,0,0.195,0,0.328,0,0,0,0,10.19,34.05,0.723,0.467,0.317,0.098,1.851,2.878,54.361,0.21,30.89,13.3,18.453,1.14,0.022,287,0.351,7.685,0.151,0.062,0.113,0.016,0.237,0.354,0.09,0.299,0.03,0
SB-105,13,ROH,0_0,0,0,HP,21,0,0.001,0,0,0,0,0,0,1.703,0.714,0,0,0.171,0,0,0,0,0.032,0,10.38,46.84,1.105,1.096,1.324,0.098,1.997,2.092,42.635,0.06,42.1,19.1,21.066,1.335,0,435,0.371,5.265,0.173,0,0.073,0.037,0.268,0.381,0.158,0.221,0.007,0
SB-105,14,ROL,1_1,1,1,HP,21,0,0.549,10.84351434,0,0.375,0.075,0,0.387,3.676,0,5.744,0.555,3.978,0,4.764,0.606,0,0.173,0,5.77,15.79,0.304,0.285,0.316,0.056,0.765,3.547,48.448,0.07,14.05,4.6,6.796,0.561,0.022,0.167,0.147,0.105,0.029,0.015,0.011,0,0.054,0.307,0.008,0,0.001,1
SB-105,18,ROL,1_0,1,0,LP,21,0,0.139,8.07121854,0,0,0,0,0,2.323,0,0,0.544,0.093,0.15,0.336,0.188,0.997,0,0,6.36,15.49,0.277,0.256,0.182,0.033,0.736,2.13,47.515,0.14,13.5,5.3,14.163,0.001,0,0,0.002,0,0,0,0.052,0.013,0.193,0.426,0.102,0.15,0.002,0
SB-105,23,ROL,0_1,0,1,HP,21,0,0.209,8.07121854,0,0.218,0,0,2.97,7.772,4.426,0,1.039,1.275,0.05,0.614,0.407,0,3.181,0,6.54,17.38,0.328,0.328,0.31,0.095,0.758,5.466,43.613,0.1,15.36,5.6,10.998,0.288,0,0.001,0.529,0.009,0.02,0,0.124,0.004,0.247,0.22,0.065,0.105,0.012,27
SB-105,25,ROL,1_0,1,0,HP,21,0,0.13,8.07121854,0,0,0,0,0,7.233,0,0,0.068,0.537,0.053,0.855,0.056,0,1.353,0,6.76,20.19,0.407,0.445,0.608,0.054,0.855,2.675,42.348,0.16,18,7.3,15.628,0.001,0,0,0.005,0,0,0,0.045,0.004,0.184,0.13,0.101,0.09,0.006,0
SB-105,26,ROL,0_1,0,1,LP,9,0,0.122,7.378383713,0,0,0,0,0,4.225,0,0.792,0.931,3.121,0.729,4.983,1.244,0,0,0,6.77,15.21,0.256,0.097,0.072,0.06,0.89,3.945,58.514,0.12,13.99,4.9,9.378,0,0,0,0,0,0,0,0.025,0,0.06,0.015,0.018,0.017,0.021,11
